"RowID","Zipcode","Population","Median Age","Household Income","Per Capita Income","Poverty Count","Poverty Rate","State","Latitude","Longitude","GeoInfo","StandardZip","StandardZip4","ZipClass","CountySSA"
1418,"95548",1228.00,42.50,32232.00,15946.00,376.00,30.61,"CA",41531940,124040835,"Zip-Distributive","95548",,"Rural","05070"
1419,"95549",880.00,47.40,61000.00,28361.00,61.00,6.93,"CA",40761596,123995158,"Zip-Distributive","95549",,"Frontier","05110"
1420,"95550",123.00,31.30,-666666666.00,11078.00,95.00,77.23,"CA",40761567,123884625,"Zip-Distributive","95550",,"Frontier","05110"
1421,"95551",1468.00,44.80,37155.00,28597.00,375.00,25.54,"CA",40662327,124222638,"Zip-Distributive","95551",,"Rural","05110"
1422,"95552",750.00,40.70,25388.00,14995.00,304.00,40.53,"CA",40365964,123425033,"Zip-Distributive","95552",,"Rural","05630"
1423,"95553",1030.00,32.80,26120.00,29598.00,311.00,30.19,"CA",40236981,123824380,"Zip-Point","95553",,"Frontier","05110"
1424,"95554",264.00,45.40,56944.00,27911.00,10.00,3.78,"CA",40280032,123797079,"Zip-Distributive","95554",,"Frontier","05110"
1425,"95555",340.00,50.90,37656.00,30368.00,75.00,22.05,"CA",41335542,124030660,"Zip-Distributive","95555",,"Frontier","05110"
1426,"95556",706.00,31.90,35469.00,13794.00,207.00,29.32,"CA",41302295,123538878,"Zip-Distributive","95556",,"Rural","05110"
1427,"95558",436.00,51.80,50313.00,32724.00,55.00,12.61,"CA",40259950,124194810,"Zip-Distributive","95558",,"Frontier","05110"
1428,"95559",93.00,60.60,2499.00,,61.00,65.59,"CA",40209106,123786234,"Zip-Point","95559",,"Frontier","05110"
1429,"95560",1787.00,44.30,52169.00,23886.00,162.00,9.06,"CA",40120099,123823045,"Zip-Distributive","95560",,"Rural","05110"
1430,"95562",3447.00,40.20,35061.00,20492.00,384.00,11.14,"CA",40500164,124107819,"Zip-Distributive","95562",,"Rural","05110"
1431,"95563",681.00,53.20,-666666666.00,29128.00,141.00,20.70,"CA",40888955,123585717,"Zip-Distributive","95563",,"Frontier","05630"
1432,"95564",380.00,33.70,36667.00,24238.00,116.00,30.52,"CA",40783409,124202034,"Zip-Distributive","95564",,"Rural","05110"
1433,"95565",946.00,30.10,40962.00,22337.00,140.00,14.79,"CA",40481774,124102987,"Zip-Distributive","95565",,"Rural","05110"
1434,"95567",2133.00,38.40,46053.00,22918.00,512.00,24.00,"CA",41943081,124178666,"Zip-Distributive","95567",,"Rural","05070"
1435,"95568",203.00,49.20,43438.00,16772.00,57.00,28.07,"CA",41470602,123500417,"Zip-Distributive","95568",,"Frontier","05570"
1436,"95569",308.00,49.50,29938.00,24019.00,18.00,5.84,"CA",40404820,123929328,"Zip-Distributive","95569",,"Rural","05110"
1437,"95570",2253.00,49.20,56167.00,36096.00,273.00,12.11,"CA",41070874,124135651,"Zip-Distributive","95570",,"Rural","05110"
1438,"95571",307.00,51.20,32092.00,18302.00,28.00,9.12,"CA",40321513,123922268,"Zip-Point","95571",,"Rural","05110"
1439,"95573",1449.00,40.50,37778.00,19484.00,488.00,33.67,"CA",40939295,123629713,"Zip-Distributive","95573",,"Rural","05110"
1440,"95585",575.00,56.10,27656.00,15299.00,169.00,29.39,"CA",39847828,123699808,"Zip-Distributive","95585",,"Frontier","05330"
1441,"95587",51.00,63.80,-666666666.00,116069.00,31.00,60.78,"CA",40003840,123789772,"Zip-Distributive","95587",,"Frontier","05110"
1442,"95589",1036.00,57.20,53063.00,33021.00,263.00,25.38,"CA",40034315,124044567,"Zip-Distributive","95589",,"Rural","05110"
1443,"95595",147.00,38.80,38500.00,16502.00,5.00,3.40,"CA",40204294,123476773,"Zip-Distributive","95595",,"Frontier","05630"
